id,address_area,address_city,address_state,space_name,description,featured_image,space_images,pricing_monthly,pricing_gst,pricing_br,pricing_ma,listing_address,full_address,processing_time,property_type,property_feature,rating,badge,is_active
13,Laxmi Nagar,Delhi,,Laxmi Nagar Business Hub,"Professional flexible environment for freelancers, startups. Modern workstations, private cabins, meeting rooms, 24/7 access.",https://easemyoffice.in/wp-content/uploads/2024/10/01-36.webp,https://easemyoffice.in/wp-content/uploads/2024/10/01-17.webp|https://easemyoffice.in/wp-content/uploads/2024/10/02-17.webp|https://easemyoffice.in/wp-content/uploads/2024/10/03-19.webp,,,,,"Laxmi Nagar, Delhi","Laxmi Nagar, Delhi, India",2-3 business days,Virtual Office & Coworking,High-speed Wi-Fi|Meeting rooms|Power backup|24x7 access|Parking|CCTV,4.7,,true
28,Paschim Vihar,Delhi,,Paschim Vihar Business Hub,"Thoughtfully designed workspace. Hot desks, private cabins, collaborative areas. High-speed internet, power backup.",https://easemyoffice.in/wp-content/uploads/2025/09/Paschim-Vihar-hero.webp,https://easemyoffice.in/wp-content/uploads/2025/09/kirti-nagar-hero.webp,,,,,"Paschim Vihar, Delhi","Paschim Vihar, Delhi, India",2-3 business days,Virtual Office & Coworking,High-speed Wi-Fi|Meeting rooms|Power backup|24x7 access|Parking|CCTV,4.7,,true
29,Kirti Nagar,Delhi,,Kirti Nagar Business Hub,"Quiet work zones and open lounges. Modern interiors, meeting rooms. Freelancers, entrepreneurs, growing teams.",https://easemyoffice.in/wp-content/uploads/2025/09/kirti-nagar-hero.webp,,,,,,"Kirti Nagar, Delhi","Kirti Nagar, Delhi, India",2-3 business days,Virtual Office & Coworking,High-speed Wi-Fi|Meeting rooms|Power backup|24x7 access|Parking|CCTV,4.7,,true
30,Rohini,Delhi,,Rohini Business Hub,"Lively workspace with open desks, private cabins, flexible seating. Bright interiors, community events.",https://easemyoffice.in/wp-content/uploads/2025/09/Rohini-hero.webp,,,,,,"Rohini, Delhi","Rohini, Delhi, India",2-3 business days,Virtual Office & Coworking,High-speed Wi-Fi|Meeting rooms|Power backup|24x7 access|Parking|CCTV,4.7,,true
31,Saket,Delhi,,Saket Business Hub,"Premium environment combining style with functionality. Private offices, conference rooms, event spaces.",https://easemyoffice.in/wp-content/uploads/2025/09/saket-hero.webp,,,,,,"Saket, Delhi","Saket, Delhi, India",2-3 business days,Virtual Office & Coworking,High-speed Wi-Fi|Meeting rooms|Power backup|24x7 access|Parking|CCTV,4.7,,true
33,Green Park,Delhi,,Green Park Business Hub,"Modern and collaborative. Open seating, networking lounges, private cabins. Fast Wi-Fi, printing, meeting rooms.",https://easemyoffice.in/wp-content/uploads/2025/09/green-park-hero.webp,,,,,,"Green Park, Delhi","Green Park, Delhi, India",2-3 business days,Virtual Office & Coworking,High-speed Wi-Fi|Meeting rooms|Power backup|24x7 access|Parking|CCTV,4.7,,true
34,Mukherjee Nagar,Delhi,,Mukherjee Nagar Business Hub,"Cost-effective coworking. Shared desks, private offices, meeting rooms. Freelancers, startups, small enterprises.",https://easemyoffice.in/wp-content/uploads/2025/09/Mukherjee-Nagar-Hero.webp,,,,,,"Mukherjee Nagar, Delhi","Mukherjee Nagar, Delhi, India",2-3 business days,Virtual Office & Coworking,High-speed Wi-Fi|Meeting rooms|Power backup|24x7 access|Parking|CCTV,4.7,,true
35,Najafgarh,Delhi,,Najafgarh Business Hub,"Versatile workspace. Collaborative zones, private areas. High-speed connectivity, conference rooms.",https://easemyoffice.in/wp-content/uploads/2025/09/najafgarh-hero.webp,,,,,,"Najafgarh, Delhi","Najafgarh, Delhi, India",2-3 business days,Virtual Office & Coworking,High-speed Wi-Fi|Meeting rooms|Power backup|24x7 access|Parking|CCTV,4.7,,true
36,Krishna Nagar,Delhi,,Krishna Nagar Business Hub,"Flexible office solution. Hot desks to furnished cabins. Community-driven, affordable.",https://easemyoffice.in/wp-content/uploads/2025/09/krishna-nagar-hero.webp,,,,,,"Krishna Nagar, Delhi","Krishna Nagar, Delhi, India",2-3 business days,Virtual Office & Coworking,High-speed Wi-Fi|Meeting rooms|Power backup|24x7 access|Parking|CCTV,4.7,,true
55,Connaught Place,Delhi,,Connaught Place Business Hub,"A premium, verified business address in Connaught Place, Delhi — ready for GST and company registration, with professional mail handling and coworking access.",,,999,999,1299,799,"Connaught Place, Delhi","Connaught Place, Delhi, India",2-3 business days,Virtual Office & Coworking,High-speed Wi-Fi|Meeting rooms|Reception|Mail handling|Parking|Power backup|CCTV|24x7 access,4.9,Most Sold,true
56,Nehru Place,Delhi,,Nehru Place Business Hub,"A premium, verified business address in Nehru Place, Delhi — ready for GST and company registration, with professional mail handling and coworking access.",,,949,949,1249,749,"Nehru Place, Delhi","Nehru Place, Delhi, India",2-3 business days,Virtual Office & Coworking,High-speed Wi-Fi|Meeting rooms|Reception|Mail handling|Parking|Power backup|CCTV|24x7 access,4.8,,true
57,Okhla,Delhi,,Okhla Business Hub,"A premium, verified business address in Okhla, Delhi — ready for GST and company registration, with professional mail handling and coworking access.",,,899,899,1199,699,"Okhla, Delhi","Okhla, Delhi, India",2-3 business days,Virtual Office & Coworking,High-speed Wi-Fi|Meeting rooms|Reception|Mail handling|Parking|Power backup|CCTV|24x7 access,4.6,,true
58,Rajouri Garden,Delhi,,Rajouri Garden Business Hub,"A premium, verified business address in Rajouri Garden, Delhi — ready for GST and company registration, with professional mail handling and coworking access.",,,899,899,1199,699,"Rajouri Garden, Delhi","Rajouri Garden, Delhi, India",2-3 business days,Virtual Office & Coworking,High-speed Wi-Fi|Meeting rooms|Reception|Mail handling|Parking|Power backup|CCTV|24x7 access,4.6,,true
59,Janakpuri,Delhi,,Janakpuri Business Hub,"A premium, verified business address in Janakpuri, Delhi — ready for GST and company registration, with professional mail handling and coworking access.",,,949,949,1249,749,"Janakpuri, Delhi","Janakpuri, Delhi, India",2-3 business days,Virtual Office & Coworking,High-speed Wi-Fi|Meeting rooms|Reception|Mail handling|Parking|Power backup|CCTV|24x7 access,4.7,,true
65,Cyber City,Gurgaon,,Cyber City Business Hub,"A premium, verified business address in Cyber City, Gurgaon — ready for GST and company registration, with professional mail handling and coworking access.",,,1099,1099,1399,899,"Cyber City, Gurgaon","Cyber City, Gurgaon, India",2-3 business days,Virtual Office & Coworking,High-speed Wi-Fi|Meeting rooms|Reception|Mail handling|Parking|Power backup|CCTV|24x7 access,4.9,Trending,true
66,Sohna Road,Gurgaon,,Sohna Road Business Hub,"A premium, verified business address in Sohna Road, Gurgaon — ready for GST and company registration, with professional mail handling and coworking access.",,,999,999,1299,799,"Sohna Road, Gurgaon","Sohna Road, Gurgaon, India",2-3 business days,Virtual Office & Coworking,High-speed Wi-Fi|Meeting rooms|Reception|Mail handling|Parking|Power backup|CCTV|24x7 access,4.7,,true
15,Golf Course Road,Gurgaon,,Golf Course Road Business Hub,"Premium and flexible workspace. Modern interiors, private offices, dedicated desks, meeting rooms.",https://easemyoffice.in/wp-content/uploads/2024/10/01-37.webp,https://easemyoffice.in/wp-content/uploads/2024/10/03-6.webp|https://easemyoffice.in/wp-content/uploads/2024/10/WC-SH.webp|https://easemyoffice.in/wp-content/uploads/2024/10/02-10.webp,,,,,"Golf Course Road, Gurgaon","Golf Course Road, Gurgaon, India",2-3 business days,Virtual Office & Coworking,High-speed Wi-Fi|Meeting rooms|Power backup|24x7 access|Parking|CCTV,4.7,,true
16,MG Road,Gurgaon,,MG Road Business Hub,"Prime location, excellent metro connectivity. Hot desks, dedicated desks, private cabins. High-speed internet, printing, meeting rooms.",https://easemyoffice.in/wp-content/uploads/2024/10/01-38.webp,https://easemyoffice.in/wp-content/uploads/2024/10/03.webp|https://easemyoffice.in/wp-content/uploads/2024/10/02.webp|https://easemyoffice.in/wp-content/uploads/2024/10/05-1.webp,,,,,"MG Road, Gurgaon","MG Road, Gurgaon, India",2-3 business days,Virtual Office & Coworking,High-speed Wi-Fi|Meeting rooms|Power backup|24x7 access|Parking|CCTV,4.7,,true
67,Udyog Vihar,Gurgaon,,Udyog Vihar Business Hub,"A premium, verified business address in Udyog Vihar, Gurgaon — ready for GST and company registration, with professional mail handling and coworking access.",,,949,949,1249,749,"Udyog Vihar, Gurgaon","Udyog Vihar, Gurgaon, India",2-3 business days,Virtual Office & Coworking,High-speed Wi-Fi|Meeting rooms|Reception|Mail handling|Parking|Power backup|CCTV|24x7 access,4.6,,true
14,Sector 53 Golf Course Road,Gurgaon,,Sector 53 Golf Course Road Business Hub,"Premium workspace on Golf Course Road. Modern interiors, private offices, dedicated desks, meeting rooms. High-speed internet, 24/7 access.",https://easemyoffice.in/wp-content/uploads/2024/10/01-26.webp,https://easemyoffice.in/wp-content/uploads/2024/10/01-2.webp|https://easemyoffice.in/wp-content/uploads/2024/10/03-15.webp|https://easemyoffice.in/wp-content/uploads/2024/10/02-18.webp,,,,,"Sector 53 Golf Course Road, Gurgaon","Sector 53 Golf Course Road, Gurgaon, India",2-3 business days,Virtual Office & Coworking,High-speed Wi-Fi|Meeting rooms|Power backup|24x7 access|Parking|CCTV,4.7,,true
68,HITEC City,Hyderabad,,HITEC City Business Hub,"A premium, verified business address in HITEC City, Hyderabad — ready for GST and company registration, with professional mail handling and coworking access.",,,999,999,1299,799,"HITEC City, Hyderabad","HITEC City, Hyderabad, India",2-3 business days,Virtual Office & Coworking,High-speed Wi-Fi|Meeting rooms|Reception|Mail handling|Parking|Power backup|CCTV|24x7 access,4.8,Most Sold,true
17,Banjara Hills,Hyderabad,,Banjara Hills Business Hub,"Calm professional environment. High-speed WiFi, air conditioning, power backup, pantry. Private offices, open desks, lounge.",https://easemyoffice.in/wp-content/uploads/2024/10/01.webp,https://easemyoffice.in/wp-content/uploads/2024/10/03-1.webp|https://easemyoffice.in/wp-content/uploads/2024/10/02-1.webp|https://easemyoffice.in/wp-content/uploads/2024/10/04-1.webp,,,,,"Banjara Hills, Hyderabad","Banjara Hills, Hyderabad, India",2-3 business days,Virtual Office & Coworking,High-speed Wi-Fi|Meeting rooms|Power backup|24x7 access|Parking|CCTV,4.7,,true
70,Madhapur,Hyderabad,,Madhapur Business Hub,"A premium, verified business address in Madhapur, Hyderabad — ready for GST and company registration, with professional mail handling and coworking access.",,,949,949,1249,749,"Madhapur, Hyderabad","Madhapur, Hyderabad, India",2-3 business days,Virtual Office & Coworking,High-speed Wi-Fi|Meeting rooms|Reception|Mail handling|Parking|Power backup|CCTV|24x7 access,4.6,,true
18,Kondapur,Hyderabad,,Kondapur Business Hub,Vibrant Hitech City area. Workspaces for up to 30 members. Well-connected to public transport.,https://easemyoffice.in/wp-content/uploads/2024/10/01-1.webp,https://easemyoffice.in/wp-content/uploads/2024/10/03-5.webp|https://easemyoffice.in/wp-content/uploads/2024/10/02-5.webp|https://easemyoffice.in/wp-content/uploads/2024/10/05-5.webp,,,,,"Kondapur, Hyderabad","Kondapur, Hyderabad, India",2-3 business days,Virtual Office & Coworking,High-speed Wi-Fi|Meeting rooms|Power backup|24x7 access|Parking|CCTV,4.7,,true
69,Gachibowli,Hyderabad,,Gachibowli Business Hub,"A premium, verified business address in Gachibowli, Hyderabad — ready for GST and company registration, with professional mail handling and coworking access.",,,999,999,1299,799,"Gachibowli, Hyderabad","Gachibowli, Hyderabad, India",2-3 business days,Virtual Office & Coworking,High-speed Wi-Fi|Meeting rooms|Reception|Mail handling|Parking|Power backup|CCTV|24x7 access,4.7,,true
19,Hirapura,Jaipur,,Hirapura Business Hub,"Vibrant coworking with high-speed internet, meeting rooms, free beverages. Ergonomic furniture, biometric access, 24/7.",https://easemyoffice.in/wp-content/uploads/2024/10/01-39.webp,https://easemyoffice.in/wp-content/uploads/2024/10/03-2.webp|https://easemyoffice.in/wp-content/uploads/2024/10/02-2.webp|https://easemyoffice.in/wp-content/uploads/2024/10/09-1.webp,,,,,"Hirapura, Jaipur","Hirapura, Jaipur, India",2-3 business days,Virtual Office & Coworking,High-speed Wi-Fi|Meeting rooms|Power backup|24x7 access|Parking|CCTV,4.7,,true
20,Sangariya,Jodhpur,,Sangariya Business Hub,"Dynamic environment for freelancers, startups. Dedicated desks, private cabins, shared workspaces.",https://easemyoffice.in/wp-content/uploads/2024/10/01-40.webp,https://easemyoffice.in/wp-content/uploads/2024/10/03-3.webp|https://easemyoffice.in/wp-content/uploads/2024/10/02-3.webp|https://easemyoffice.in/wp-content/uploads/2024/10/05-3.webp,,,,,"Sangariya, Jodhpur","Sangariya, Jodhpur, India",2-3 business days,Virtual Office & Coworking,High-speed Wi-Fi|Meeting rooms|Power backup|24x7 access|Parking|CCTV,4.7,,true
23,Mukherjee Road,Kolkata,,Mukherjee Road Business Hub,"Open desks, dedicated desks, private offices. High-speed internet, conference rooms, cafeteria, lounge.",https://easemyoffice.in/wp-content/uploads/2024/10/01-43.webp,https://easemyoffice.in/wp-content/uploads/2024/10/03-4.webp|https://easemyoffice.in/wp-content/uploads/2024/10/02-4.webp|https://easemyoffice.in/wp-content/uploads/2024/10/09-2.webp,,,,,"Mukherjee Road, Kolkata","Mukherjee Road, Kolkata, India",2-3 business days,Virtual Office & Coworking,High-speed Wi-Fi|Meeting rooms|Power backup|24x7 access|Parking|CCTV,4.7,,true
21,Camac Street,Kolkata,,Camac Street Business Hub,"Centrally located in business district. Professional, air-conditioned. High-speed internet, power backup, meeting rooms.",https://easemyoffice.in/wp-content/uploads/2024/10/01-41.webp,https://easemyoffice.in/wp-content/uploads/2024/10/03-16.webp|https://easemyoffice.in/wp-content/uploads/2024/10/15.webp|https://easemyoffice.in/wp-content/uploads/2024/10/14.webp,,,,,"Camac Street, Kolkata","Camac Street, Kolkata, India",2-3 business days,Virtual Office & Coworking,High-speed Wi-Fi|Meeting rooms|Power backup|24x7 access|Parking|CCTV,4.7,,true
22,Park Street,Kolkata,,Park Street Business Hub,"Prime business area. Dedicated desks, private cabins, meeting rooms, high-speed Wi-Fi, pantry.",https://easemyoffice.in/wp-content/uploads/2024/10/01-42.webp,https://easemyoffice.in/wp-content/uploads/2024/10/03-17.webp|https://easemyoffice.in/wp-content/uploads/2024/10/15-1.webp|https://easemyoffice.in/wp-content/uploads/2024/10/14-1.webp,,,,,"Park Street, Kolkata","Park Street, Kolkata, India",2-3 business days,Virtual Office & Coworking,High-speed Wi-Fi|Meeting rooms|Power backup|24x7 access|Parking|CCTV,4.7,,true
39,Malad,Mumbai,,Malad Business Hub,"Flexible office with shared desks, private spaces. Printing, reception, secure internet.",https://easemyoffice.in/wp-content/uploads/2025/09/Coworking-Space-Maharashtra-Mumbai-Andheri-Kurla-Rd-Chimatpada-Marol-Andheri-Easthhknf9.webp,,,,,,"Malad, Mumbai","Malad, Mumbai, India",2-3 business days,Virtual Office & Coworking,High-speed Wi-Fi|Meeting rooms|Power backup|24x7 access|Parking|CCTV,4.7,,true
42,Bandra,Mumbai,,Bandra Business Hub,"Premium business center. Coworking desks, private offices, virtual office. Reception, mail handling, meeting spaces.",https://easemyoffice.in/wp-content/uploads/2025/09/1-1558530769.avif,https://easemyoffice.in/wp-content/uploads/2025/09/yb5v8q.webp|https://easemyoffice.in/wp-content/uploads/2025/09/rne684.webp|https://easemyoffice.in/wp-content/uploads/2025/09/4ddd29.webp,,,,,"Bandra, Mumbai","Bandra, Mumbai, India",2-3 business days,Virtual Office & Coworking,High-speed Wi-Fi|Meeting rooms|Power backup|24x7 access|Parking|CCTV,4.7,,true
24,Goregaon East,Mumbai,,Goregaon East Business Hub,"Modern coworking for startups, freelancers. Hot desks, dedicated offices. High-speed internet, meeting rooms.",https://easemyoffice.in/wp-content/uploads/2024/10/01-44.webp,https://easemyoffice.in/wp-content/uploads/2024/10/03-7.webp|https://easemyoffice.in/wp-content/uploads/2024/10/02-6.webp|https://easemyoffice.in/wp-content/uploads/2024/10/05-6.webp,,,,,"Goregaon East, Mumbai","Goregaon East, Mumbai, India",2-3 business days,Virtual Office & Coworking,High-speed Wi-Fi|Meeting rooms|Power backup|24x7 access|Parking|CCTV,4.7,,true
